E2-T07 real-HTTP authorization matrix
http case=read.reader.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.reader.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.reader.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.writer.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.writer.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.writer.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.writer.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"grant:write"}
http case=follow.writer.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"grant:write"}
http case=read.writer.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.writer.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.writer.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.writer.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.writer.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.writer.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.revoked.public status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.revoked.public status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.revoked.public status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.revoked.private status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.revoked.private status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.revoked.private status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.revoked.missing-repo status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.revoked.missing-repo status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.revoked.missing-repo status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.revoked.missing-org status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.revoked.missing-org status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.revoked.missing-org status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.badscope.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.badscope.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.badscope.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.badscope.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.badscope.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.badscope.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.badscope.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.badscope.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.badscope.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.badscope.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.badscope.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.badscope.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.encoded-org status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.encoded-branch status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
